Type / Creator / Imprint,Publisher,Author,Title,Extra Title Info,Permanent Location,Call Number,Date,Status,Material Type,MMS ID
"Book By Colo Methodist Church (Colo, Iowa). (Iowa Falls, Iowa : General Publishing and Binding, 1966.)","Colo, Iowa). (Iowa Falls, Iowa : General Publishing and Binding, 1966.)",Colo Methodist Church,Colo cook book,[compiled by the Ladies of the Colo Methodist Church],PARKS Special Collections,TX715.2 M53 C653x 1966,1966,Item in place,Book,990015329310102756
"Book By Shuck, Edith. (Clinton, Iowa : Clinton Company, 1934. 1934)","Clinton, Iowa : Clinton Company, 1934. 1934)","Shuck, Edith.",Clinton corn starch recipes,by Edith Shuck; prepared for Clinton Company.,PARKS Special Collections,TX715.2 M53 C55x 1934,1934,Item in place,Book,990015653610102756
"Book By Ainsworth Community Church (Ainsworth, Iowa) (Pleasanton, KS : Fundcraft Publishing, Inc., [1977])","Ainsworth, Iowa) (Pleasanton, KS : Fundcraft Publishing, Inc., [1977])",Ainsworth Community Church,Season with love : favorite recipes,Ainsworth Community Church.,PARKS General Collection,TX715.2 M53 S412x 1977,1977,Item in place,Book,990016223860102756
"Book By St. Charles United Methodist Night Circle. (Iowa Falls, Iowa : General Publishing and Binding, 1974.)","Iowa Falls, Iowa : General Publishing and Binding, 1974.)",St. Charles United Methodist Night Circle.,Our favorite recipes,[St. Charles United Methodist Night Circle],PARKS Special Collections,TX715.2 M53 O9743x 1974,1974,Item in place,Book,990017659110102756
"Book By Ramsey Memorial Home (Des Moines, Iowa) (Des Moines, Iowa : Ramsey Memorial Home, [date of publication not identified])","Des Moines, Iowa) (Des Moines, Iowa : Ramsey Memorial Home, [date of publication not identified])",Ramsey Memorial Home,Favorite recipes,compiled by friends of Ramsey Memorial Home.,PARKS Special Collections,TX715.2 M53 F383x,TX715.2 M53 F383x,Item in place,Book,990015258700102756
"Book ([Cherokee, Iowa?] : [publisher not identified], 1926.)","[Cherokee, Iowa?] : [publisher not identified], 1926.)",Book,Westminster cook book.,,PARKS Special Collections,TX715.2 M53 W48x 1926,1926,Item in place,Book,990015527800102756
"Book By First Presbyterian Church (Oskaloosa, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1977.)","Oskaloosa, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1977.)",First Presbyterian Church,Our favorite recipes,"[compiled by members of] First Presbyterian Church, Oskaloosa, Iowa.",PARKS General Collection,TX715.2 M53 O9734x 1977,1977,Item in place,Book,990016265340102756
"Book By Iowa State University. Student Dietetic Association. (Kearney, NE : Morris Press Cookbooks, 2010.)","Kearney, NE : Morris Press Cookbooks, 2010.)",Iowa State University. Student Dietetic Association.,Healthy in a hurry : a collection of recipes,by Iowa State University Student Dietetic Association.,PARKS General Collection,TX833.5 H43x 2010,2010,Item in place,Book,990019383580102756
"Book By Ames Woman's Club (Ames, Iowa) ([Ames, Iowa] : Tribune Publishing Co., 1923.)","Ames, Iowa) ([Ames, Iowa] : Tribune Publishing Co., 1923.)",Ames Woman's Club,Ames Woman's Club cook book,"compiled by the May, August and October birthday groups.",PARKS Special Collections,TX715.2 M53 A48x 1923,1923,Item in place,Book,990016979900102756
"Book By Midland United Dairy Industry Association. ([Ankeny, Iowa?] : Midland United Dairy Industry Association, [1987])","[Ankeny, Iowa?] : Midland United Dairy Industry Association, [1987])",Midland United Dairy Industry Association.,Milk made magic : 1987 sweepstakes.,,PARKS General Collection,TX715.2 M53 M547x 1987,1987,Item in place,Book,990018390380102756
"Book (Sioux City, Iowa : Journal-Tribune Publishing Company, [1953?])","Sioux City, Iowa : Journal-Tribune Publishing Company, [1953?])",Book,"That's an idea! : ideas for the homemaker from the Farm Weekly, the Sioux City Journal, Journal-Tribune.",,PARKS Special Collections,TX715 T368x 1953,1953,Item in place,Book,990015599950102756
"Book By First Presbyterian Church (Cleghorn, Iowa) ([Cleghorn, Iowa] : [First Presbyterian Church?], [date of publication not identified])","Cleghorn, Iowa) ([Cleghorn, Iowa] : [First Presbyterian Church?], [date of publication not identified])",First Presbyterian Church,Favorite recipes tried and sure tested and true,"First Presbyterian Church, Cleghorn, Iowa.",PARKS Special Collections,TX715.2 M53 F3836x,TX715.2 M53 F3836x,Item in place,Book,990015415510102756
"Book By Palmer Candy Company. (Sioux City, Iowa : Palmer Candy Co.)","Sioux City, Iowa : Palmer Candy Co.)",Palmer Candy Company.,Use candy in cooking.,,PARKS Special Collections,TX715.2 M53 U84x,TX715.2 M53 U84x,Item in place,Book,990019714360102756
"Book By North Iowa Girl Scout Council. (Nashville, TN : Favorite Recipes Press, [1989])","Nashville, TN : Favorite Recipes Press, [1989])",North Iowa Girl Scout Council.,Prairie potpourri : country cookin'--indoors and out,North Iowa Girl Scout Council.,PARKS General Collection,TX715.2 M53 P732x 1989,1989,Item in place,Book,990016444460102756
"Book By Sacred Heart School (Osage, Iowa) (Waverly, Iowa : G & R Publishing, [2004?])","Osage, Iowa) (Waverly, Iowa : G & R Publishing, [2004?])",Sacred Heart School,Our favorite recipes,Sacred Heart School.,PARKS General Collection,TX715.2 M53 O9728x 2004,2004,Item in place,Book,990015356000102756
"Book By Moser, Betty. (Guttenburg, IA (37698 Pumpkin Ridge Rd., Guttenburg 52052-8166) : Send orders to: Betty Moser, 2004.)","Guttenburg, IA (37698 Pumpkin Ridge Rd., Guttenburg 52052-8166) : Send orders to: Betty Moser, 2004.)","Moser, Betty.",Let's eat! mom's cookin',recipes by Betty Moser.,PARKS General Collection,TX715.2 M53 M685x 2004,2004,Item in place,Book,990015478740102756
"Book By First Baptist Church (Fairfield, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbooks, 1992.)","Fairfield, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbooks, 1992.)",First Baptist Church,Baptist cookin' : for your enjoyment,"recipes from First Baptist Church Family, Fairfield, Iowa.",PARKS Special Collections,TX715.2 M53 B37x 1992,1992,Item in place,Book,990017658630102756
"Book By Midwest Old Settlers & Threshers Association. Ladies Auxiliary. (Wapello, Iowa : Louisa Publishing Co., 1965.)","Wapello, Iowa : Louisa Publishing Co., 1965.)",Midwest Old Settlers & Threshers Association. Ladies Auxiliary.,Cook book,Midwest Old Settlers and Threshers Auxiliary.,PARKS Special Collections,TX715.2 M53 C6634x 1965,1965,Item in place,Book,990015084190102756
"Book By Methodist Ladies' Aid Society (Thornton, Iowa) (Thornton, Iowa : Methodist Ladies Aid Society, 1916.)","Thornton, Iowa) (Thornton, Iowa : Methodist Ladies Aid Society, 1916.)",Methodist Ladies' Aid Society,Ladies' cook book,"Methodist Ladies' Aid Society, Thornton, Iowa.",PARKS Special Collections,TX715.2 M53 L33x 1916,1916,Item in place,Book,990014725940102756
"Book By Western Honey Producers (Sioux City, Iowa) (Sioux City, Iowa : Western Honey Producers, [between 1906 and 1920?].)","Sioux City, Iowa) (Sioux City, Iowa : Western Honey Producers, [between 1906 and 1920?].)",Western Honey Producers,Honey cook book.,,PARKS Special Collections,TX767 H7 H655x 1906,1906,Item in place,Book,990018714770102756
"Book By Highland Potato Chip Company. (Des Moines [Iowa] : Hiland Potato Chip Co., [between 1960 and 1969?])","Des Moines [Iowa] : Hiland Potato Chip Co., [between 1960 and 1969?])",Highland Potato Chip Company.,Favorite recipes,by Hiland.,PARKS Special Collections,TX803 P8 F38x 1960z,TX803 P8 F38x 1960z,Item in place,Book,990019260050102756
"Book By St. Patrick's Church (Waukon, Iowa). Sanctuary Society. (Waseca, Minn. : Walter's Publishing Company, [date of publication not identified])","Waukon, Iowa). Sanctuary Society. (Waseca, Minn. : Walter's Publishing Company, [date of publication not identified])",St. Patrick's Church,Recipes,"compiled by Sanctuary Society St. Patrick's Church, Waukon, Iowa.",PARKS Special Collections,TX715.2 M53 R4424x,TX715.2 M53 R4424x,Item in place,Book,990015218990102756
"Book By American Legion. Auxiliary. Unit No. 50 (Lansing, Iowa) (Lansing, Iowa : American Legion Auxiliary, Unit no. 50, [1972?])","Lansing, Iowa) (Lansing, Iowa : American Legion Auxiliary, Unit no. 50, [1972?])",American Legion. Auxiliary. Unit No. 50,Home cooking secrets of Lansing.,,PARKS General Collection,TX715.2 M53 H66x 1972,1972,Item in place,Book,990015724040102756
"Book By St. John's by the Campus (Church : Ames, Iowa) ([Ames, Iowa (2338 Lincoln Way, Ames 50014)] : Episcopal Parish of Ames, St. John's by the Campus, [1998])","Church : Ames, Iowa) ([Ames, Iowa (2338 Lincoln Way, Ames 50014)] : Episcopal Parish of Ames, St. John's by the Campus, [1998])",St. John's by the Campus,Traditional English tea 1998 recipe book.,,PARKS Special Collections,TX736 T73x 1998,1998,Item in place,Book,990016061300102756
"Book By American Association of University Women. Waterloo Branch. ([Waterloo, Iowa] : [Waterloo Branch American Association of University Women?], 1960.)","[Waterloo, Iowa] : [Waterloo Branch American Association of University Women?], 1960.)",American Association of University Women. Waterloo Branch.,Food for fellowship,compiled under the co-chairmanship of Maxine Thorson and Esther Sharbo.,PARKS Special Collections,TX715.2 M53 F66x 1960,1960,Item in place,Book,990015411070102756
"Book By Meriden Evangelical Free Church (Meriden, Iowa) ([Meriden, Iowa] : [Meriden Evangelical Free Church?], 1961.)","Meriden, Iowa) ([Meriden, Iowa] : [Meriden Evangelical Free Church?], 1961.)",Meriden Evangelical Free Church,Favorite recipes of folks you know,"Meriden Evangelical Free Church, Meriden, Iowa.",PARKS Special Collections,TX715.2 M53 F3835x 1961,1961,Item in place,Book,990015411110102756
"Book By First Reformed Church (Prairie City, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1971.)","Prairie City, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1971.)",First Reformed Church,First Church family cook book,"First Reformed Church, Prairie City, Iowa.",PARKS General Collection,TX715.2 M53 F5726x 1983,1983,Item in place,Book,990016382350102756
"Book By Colwell Congregational Church (Colwell, Iowa) ([Colwell, Iowa] : [Colwell Congregational Church?], 1958.)","Colwell, Iowa) ([Colwell, Iowa] : [Colwell Congregational Church?], 1958.)",Colwell Congregational Church,Cook book,"[compiled by members and friends of the Colwell Congregational Church, Colwell, Iowa]",PARKS Special Collections,TX715.2 M53 C6627x 1958,1958,Item in place,Book,990015033580102756
"Book By Immaculate Conception Catholic Church (Graettinger, Iowa) (Blue Earth, Minn. : Bartley Printing Co., [1983?])","Graettinger, Iowa) (Blue Earth, Minn. : Bartley Printing Co., [1983?])",Immaculate Conception Catholic Church,"""Cookin' country""","Immaculate Conception Catholic Church, Graettinger, Iowa.",PARKS General Collection,TX715.2 M53 C6726x 1983,1983,Item in place,Book,990016012260102756
"Book By White, Christine L. (Kearney, Neb. : Morris Publishing, 2003.)","Kearney, Neb. : Morris Publishing, 2003.)","White, Christine L.","Good food from the ""White house"" : ""Christine's goodies"" no guarantee to be non-fattening",[compiled by Christine L. White.],PARKS General Collection,TX715.2 M53 G662x 2003,2003,Item in place,Book,990015658250102756
"Book By First Congregational Church (Creston, Iowa). Ladies Aid. (Creston, Iowa : Creston Printing, [1915?])","Creston, Iowa). Ladies Aid. (Creston, Iowa : Creston Printing, [1915?])",First Congregational Church,Congregational cook book,"compiled by Ladies Aid of the First Congregational Church Creston, Iowa.",PARKS Special Collections,TX715.2 M53 C657x 1915,1915,Item in place,Book,990014635250102756
"Book By North Liberty Jaycee Ettes (North Liberty, Iowa) (Iowa City, Iowa : Best-Way Publishing, [1982-1983?])","North Liberty, Iowa) (Iowa City, Iowa : Best-Way Publishing, [1982-1983?])",North Liberty Jaycee Ettes,North Liberty cooks,compiled by North Liberty Jaycee Ettes.,PARKS General Collection,TX715.2 M53 N672x 1982,1982,Item in place,Book,990016154650102756
"Book By American Legion. Auxiliary (Marquette, Iowa) (Chicago, Ill. : Women's Clubs Publishing Co., [1968?])","Marquette, Iowa) (Chicago, Ill. : Women's Clubs Publishing Co., [1968?])",American Legion. Auxiliary,Cooking favorites of Marquette,"American Legion Auxiliary, Marquette, Iowa.",PARKS Special Collections,TX715.2 M53 C6733x 1968,1968,Item in place,Book,990017439840102756
"Book By Methodist Church (Gosport, Iowa) (Gosport, Iowa : [Methodist Church, Gosport, Iowa?], 1941.)","Gosport, Iowa) (Gosport, Iowa : [Methodist Church, Gosport, Iowa?], 1941.)",Methodist Church,Cook book,"Methodist Church, Gosport, Iowa.",PARKS Special Collections,TX715.2 M53 C6665x 1941,1941,Item in place,Book,990017446980102756
"Book By United Church of Christ, Congregational (Ames, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1978.)","Ames, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1978.)","United Church of Christ, Congregational",Fellowship cook book,"[United Church of Christ, Congregational, Ames, Iowa].",PARKS General Collection,TX715.2 M53 F45x 1978,1978,Item in place,Book,990015981810102756
"Book By Church of Christ (Mason City, Iowa) ([Mason City, Iowa] : [Church of Christ?], [date of publication not identified])","Mason City, Iowa) ([Mason City, Iowa] : [Church of Christ?], [date of publication not identified])",Church of Christ,Our favorite recipes,"Christian Workers, Church of Christ, Mason City, Iowa.",PARKS Special Collections,TX715.2 M53 O9729x,TX715.2 M53 O9729x,Item in place,Book,990015527740102756
"Book By St. John's Catholic Church (Coggon, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1970.)","Coggon, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1970.)",St. John's Catholic Church,Good things to eat,"[St. John's Church], Coggon, Iowa.",PARKS General Collection,TX715.2 M53 G656x 1975,1975,Item in place,Book,990016366370102756
"Book By Weidmaier family. (Waverly, IA : G & R Publishing, [2005?])","Waverly, IA : G & R Publishing, [2005?])",Weidmaier family.,Generations of cooking : Weidmaier's favorite recipes.,,PARKS General Collection,TX715.2 M53 G46x 2005,2005,Item in place,Book,990016005980102756
"Book By Bethel Reformed Church (Aplington, Iowa) Ladies Aid Society. (Parkersburg, Iowa : Parkersburg Eclipse, [n.d])","Aplington, Iowa) Ladies Aid Society. (Parkersburg, Iowa : Parkersburg Eclipse, [n.d])",Bethel Reformed Church,Cook book,compiled by Ladies Aid Society of the Bethel Reformed Church.,PARKS General Collection,TX715.2 M53 C66237x,TX715.2 M53 C66237x,Item in place,Book,990016852830102756
"Book By St. Joseph's Church (Elkader, Iowa) Guild. (Elkader, Iowa : [St. Joseph's Guild?], 1952.)","Elkader, Iowa) Guild. (Elkader, Iowa : [St. Joseph's Guild?], 1952.)",St. Joseph's Church,Cook book,"compiled by St. Joseph's Guild, Elkader, Iowa.",PARKS Special Collections,TX715.2 M53 C6638x 1952,1952,Item in place,Book,990015241950102756
"Book By Ogden High School (Ogden, Iowa). Music Boosters. (Ogden, Iowa : Printed by The Ogden Reporter, [1983])","Ogden, Iowa). Music Boosters. (Ogden, Iowa : Printed by The Ogden Reporter, [1983])",Ogden High School,Ogden community cook book,[Ogden High School Music Boosters?],PARKS General Collection,TX715.2 M53 O35x 1983,1983,Item in place,Book,990016437550102756
"Book By Nazareth Lutheran Church (Cambridge, Iowa). (Audubon, Iowa : Jumbo Jack's Cookbooks, 1996.)","Cambridge, Iowa). (Audubon, Iowa : Jumbo Jack's Cookbooks, 1996.)",Nazareth Lutheran Church,Nazareth's recipes : lead us into temptation,"[Board of Education of the Nazareth Lutheran Church, Cambridge, Iowa]",PARKS General Collection,TX715.2 M53 N39x 1996,1996,Item in place,Book,990016281060102756
"Book By Zion Lutheran Church (Ogden, Iowa) (Ogden, Iowa : Ogden Reporter, 1985.)","Ogden, Iowa) (Ogden, Iowa : Ogden Reporter, 1985.)",Zion Lutheran Church,Favorite recipes II,"Zion Lutheran Church, Ogden, Iowa.",PARKS Special Collections,TX715.2 M53 F3867x 1985,1985,Item in place,Book,990019397530102756
"Book By Assumption Catholic Church (Cresco, Iowa). (Sumner, Iowa : Sumner Gazette Publishing Co., [1983])","Cresco, Iowa). (Sumner, Iowa : Sumner Gazette Publishing Co., [1983])",Assumption Catholic Church,Recipe book,Assumption Catholic Church.,PARKS General Collection,TX715.2 M53 A87 1983,1983,Item in place,Book,9920354789702756
"Book By Memorial Lutheran Church (Nevada, Iowa) (Deep River, Iowa : Brennan Printing, 1998.)","Nevada, Iowa) (Deep River, Iowa : Brennan Printing, 1998.)",Memorial Lutheran Church,What's cooking : 26th best small town in America,Memorial Lutheran Church.,PARKS General Collection,TX715.2 M53 W533x 1998,1998,Item in place,Book,9920318382502756
"Book By Norwegian-American Museum. (Decorah, Iowa : Vesterheim Production, [1987])","Decorah, Iowa : Vesterheim Production, [1987])",Norwegian-American Museum.,Rosemalers' recipes,[compiled by volunteers of the Norwegian-American Museum].,PARKS General Collection,TX715.2 M53 R673x 1987,1987,Item in place,Book,990016727720102756
"Book By Love 'N' Joy Preschool. (Westgate, Iowa : Love 'N' Joy Preschool, [1981?])","Westgate, Iowa : Love 'N' Joy Preschool, [1981?])",Love 'N' Joy Preschool.,Butter 'n love recipes,Love 'N' Joy Preschool.,PARKS General Collection,TX715.2 M53 B8873x 1981,1981,Item in place,Book,990015918300102756
"Book By Trinity Lutheran Church (Ellsworth, Iowa). Rachel Circle. (Iowa Falls, Iowa : General Publishing and Binding, 1966.)","Ellsworth, Iowa). Rachel Circle. (Iowa Falls, Iowa : General Publishing and Binding, 1966.)",Trinity Lutheran Church,Parish pantry,"prepared by Rachel Circle, Trinity Lutheran Church, Ellsworth Iowa.",PARKS Special Collections,TX715.2 M53 P38x 1966,1966,Item in place,Book,990018358420102756
"Book By Jefferson County Farm Bureau (Iowa). Women's Committee. (Jefferson County, Iowa : Farm Bureau Women's Committee, 1967.)","Iowa). Women's Committee. (Jefferson County, Iowa : Farm Bureau Women's Committee, 1967.)",Jefferson County Farm Bureau,Jefferson County cook book.,,PARKS Special Collections,TX715.2 M53 J44x 1967,1967,Item in place,Book,990014739800102756
"Book By Ames Elks Lodge. (Iowa Falls, Iowa : General Publishing and Binding, 1987.)","Iowa Falls, Iowa : General Publishing and Binding, 1987.)",Ames Elks Lodge.,Our favorite recipes,Ames Elks Lodge.,PARKS General Collection,TX715.2 M53 O9746x 1987,1987,Item in place,Book,990017806010102756
"Book By Band Parents Association (Denison, Iowa) (Denison, Iowa : Denison Bulletin, 1938.)","Denison, Iowa) (Denison, Iowa : Denison Bulletin, 1938.)",Band Parents Association,Cook book,"compiled by Band Parents Association, Denison, Iowa.",PARKS Special Collections,TX715.2 M53 C6639x 1938,1938,Item in place,Book,990015272620102756
"Book (Cedar Rapids, Iowa : WMT-TV, 1969.)","Cedar Rapids, Iowa : WMT-TV, 1969.)",Book,Home fare favorites,edited by Jackie Grant.,PARKS General Collection,TX715.2 M53 H662x 1969,1969,Item in place,Book,990015724580102756
"Book By St. Francis Rosary Society (Ossian, Iowa) (Ossian, Iowa : St. Francis Rosary Society, [1964?])","Ossian, Iowa) (Ossian, Iowa : St. Francis Rosary Society, [1964?])",St. Francis Rosary Society,We give thee thanks,St. Francis Rosary Society.,PARKS General Collection,TX715.2 M53 W44x 1964,1964,Item in place,Book,990015723880102756
"Book By River Hills Betterment Committee. (Ottumwa, Iowa : River Hills Betterment Committee, [1981?])","Ottumwa, Iowa : River Hills Betterment Committee, [1981?])",River Hills Betterment Committee.,Butter 'n love recipes,River Hills Betterment Committee.,PARKS General Collection,TX715.2 M53 B887x 1981,1981,Item in place,Book,990015724130102756
"Book By Methodist Church (Barnes City, Iowa). Women's Society of Christian Service. (Marceline, Mo. : R. Wallace Pischel, [1952?])","Barnes City, Iowa). Women's Society of Christian Service. (Marceline, Mo. : R. Wallace Pischel, [1952?])",Methodist Church,Cook book : favorite recipes.,,PARKS Special Collections,TX715.2 M53 C6644x 1952,1952,Item in place,Book,990014982130102756
"Book By Mutual Aid Food Association (Ames, Iowa) (Lake Mills, Iowa : Graphic Publishing Co., [1982])","Ames, Iowa) (Lake Mills, Iowa : Graphic Publishing Co., [1982])",Mutual Aid Food Association,Preparing nature's bounty,[compiled by members of M.A.F.A. (Mutual Aid Food Association)].,PARKS General Collection,TX837 P74x 1982,1982,Item in place,Book,990018965790102756
"Book By Maquoketa Valley School. Music Boosters. ([Maquoketa, Iowa] : [Music Boosters?], 1962.)","[Maquoketa, Iowa] : [Music Boosters?], 1962.)",Maquoketa Valley School. Music Boosters.,Out of Maquoketa Valley kitchens,[compiled by the Music Boosters of the Maquoketa Valley School],PARKS Special Collections,TX715.2 M53 O98x 1962,1962,Item in place,Book,990015039420102756
"Book By Band Mothers (Hopkinton, Iowa) (Hopkinton, Iowa : Band Mothers, [between 1950 and 1959?])","Hopkinton, Iowa) (Hopkinton, Iowa : Band Mothers, [between 1950 and 1959?])",Band Mothers,Suburban cookie book,"sponsored by Band Mothers, Hopkinton, Iowa.",PARKS General Collection,TX772 S83x 1950z,TX772 S83x 1950z,Item in place,Book,990015947510102756
"Book By Iowa Milk Dealers Association. (Des Moines, Iowa : Iowa Milk Dealers Association, [between 1950 and 1959?])","Des Moines, Iowa : Iowa Milk Dealers Association, [between 1950 and 1959?])",Iowa Milk Dealers Association.,"Cottage cheese recipe book : appetizers, salads, salad dressings, breads, main dishes, desserts.",,PARKS Special Collections,TX759.5 C48 C67x 1950z,TX759.5 C48 C67x 1950z,Item in place,Book,990018376890102756
"Book By Lutheran Home Finding Society (Fort Dodge, Iowa) (Fort Dodge, Iowa : Lutheran Home Finding Society?, 1970?)","Fort Dodge, Iowa) (Fort Dodge, Iowa : Lutheran Home Finding Society?, 1970?)",Lutheran Home Finding Society,Cook book,Lutheran Home Finding Society Auxiliary.,PARKS General Collection,TX715.2 M53 C66234x 1970,1970,Item in place,Book,990016407470102756
"Book By Howard, Linda. (Deep River, Iowa : Brennan Printing, 2000.)","Deep River, Iowa : Brennan Printing, 2000.)","Howard, Linda.",What's cooking with-- zucchini? : and other varieties of squash,by Linda Howard.,PARKS General Collection,TX715.2 M53 W5325x 2000,2000,Item in place,Book,990015988080102756
"Book By Iowa. Department of Agriculture. Marketing Division. ([Des Moines] : Marketing Division, Iowa Dept. of Agriculture in cooperation with Iowa Honey Producers Association, 1971.)","[Des Moines] : Marketing Division, Iowa Dept. of Agriculture in cooperation with Iowa Honey Producers Association, 1971.)",Iowa. Department of Agriculture. Marketing Division.,Honey recipe book.,,PARKS General Collection,TX767 H7 H665x 1971,1971,Item in place,Book,990018708710102756
"Book By Iowa Beef Industry Council. (Ames, Iowa : Iowa Beef Industry Council, [1976?])","Ames, Iowa : Iowa Beef Industry Council, [1976?])",Iowa Beef Industry Council.,Beef recipes for the microwave oven,from the Iowa Beef Industry Council.,PARKS Special Collections,TX749.5 B43 B446x 1976,1976,Item in place,Book,990019031850102756
"Book By Ebenezer United Presbyterian Women (George, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1969.)","George, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1969.)",Ebenezer United Presbyterian Women,"Favorite recipes, 1969","Ebenezer United Presbyterian Women, George, Iowa.",PARKS Special Collections,TX715.2 M53 F3823x 1969,1969,Item in place,Book,990014895410102756
"Book By P.E.O. Sisterhood. Chapter LW (Knoxville, Iowa) ([Knoxville, Iowa] : [P.E.O. Chapter LW?], 1968.)","Knoxville, Iowa) ([Knoxville, Iowa] : [P.E.O. Chapter LW?], 1968.)",P.E.O. Sisterhood. Chapter LW,Redrock recipes,"P.E.O. Chapter LW, Knoxville, Iowa.",PARKS Special Collections,TX715.2 M53 R46x 1968,1968,Item in place,Book,990015084290102756
"Book By Jensen, Jan. (Des Moines [Iowa] : Iowa Power and Light Co., [1966])","Des Moines [Iowa] : Iowa Power and Light Co., [1966])","Jensen, Jan.","Holiday foods, fun and fancy",[compiled by] Jan Jensen.,PARKS Special Collections,TX739.2 C45 H64x 1966,1966,Item in place,Book,990018306060102756
"Book By Bethlehem Church (Floris, Iowa). Ladies Aid. (Iowa Falls, Iowa : General Publishing and Binding, 1967.)","Floris, Iowa). Ladies Aid. (Iowa Falls, Iowa : General Publishing and Binding, 1967.)",Bethlehem Church,Our favorite recipes,"sponsored by Ladies Aid Bethlehem Church, R.R., Floris, Iowa.",PARKS Special Collections,TX715.2 M53 O9724x 1967,1967,Item in place,Book,990014919510102756
"Book By Christ Church Parish (Burlington, Iowa) ([Place of publication not identified] : Burlington, Iowa : 1895.)","Burlington, Iowa) ([Place of publication not identified] : Burlington, Iowa : 1895.)",Christ Church Parish,Flint Hills cook book,"compiled by women [of] Christ Church Parish, Burlington, Iowa.",PARKS Special Collections,TX715.2 M53 F5765x 1895,1895,Item in place,Book,990016946000102756
"Book By JayCeeEttes. Grimes Chapter. (Shawnee Mission, Kan. : Circulation Service, Inc., [1981?])","Shawnee Mission, Kan. : Circulation Service, Inc., [1981?])",JayCeeEttes. Grimes Chapter.,A book of favorite recipes,compiled by the Grimes Chapter of Jay Cee Ettes.,PARKS General Collection,TX715.2 M53 B6635x 1981,1981,Item in place,Book,990016196820102756
"Book By Ankeny First United Methodist Church. (Independence, Iowa : Print Express, Brennan Printing, [between 2009 and 2015])","Independence, Iowa : Print Express, Brennan Printing, [between 2009 and 2015])",Ankeny First United Methodist Church.,Look what's cooking,"Ankeny First United Methodist Church, Ankeny, Iowa.",PARKS Special Collections,TX717.2 M53 W43x 2009,2009,Item in place,Book,9920511289702756
"Book By Aldersgate United Methodist Church (Urbandale, Iowa) United Methodist Women. (Audubon, IA : Jumbo Jack's Cookbooks, 1994.)","Urbandale, Iowa) United Methodist Women. (Audubon, IA : Jumbo Jack's Cookbooks, 1994.)",Aldersgate United Methodist Church,A treasury of recipes,"United Methodist Women, Aldersgate United Methodist Church, Urbandale, IA.",PARKS General Collection,TX715.2 M53 T745x 1994,1994,Item in place,Book,9920303988402756
"Book By Martin Brothers Distributing Company (Cedar Falls, Iowa) (Cedar Falls, Iowa : [Martin Brothers Distributing Company], 1943.)","Cedar Falls, Iowa) (Cedar Falls, Iowa : [Martin Brothers Distributing Company], 1943.)",Martin Brothers Distributing Company,Institutional foodservice recipes,"Martin Bros. Dist. Co., Inc., Cedar Falls, Iowa.",PARKS Special Collections,TX715.2 M53 I57x 1943,1943,Item in place,Book,990015273390102756
"Book By Keokuk County Farm Bureau. ([Place of publication not identified] : Keokuk County Farm Bureau, 1957.)","[Place of publication not identified] : Keokuk County Farm Bureau, 1957.)",Keokuk County Farm Bureau.,1957 cook book,"compiled by Keokuk County Farm Bureau, Iowa.",PARKS General Collection,TX715.2 M53 A17x 1957,1957,Item in place,Book,990015723450102756
"Book By St. Joseph's Catholic Church (Mason City, Iowa) (Mission, Kansas : Continental Publishing, [date of publication not identified])","Mason City, Iowa) (Mission, Kansas : Continental Publishing, [date of publication not identified])",St. Joseph's Catholic Church,Recipes,"St. Joseph's Catholic Church, Mason City, Iowa.",PARKS Special Collections,TX715.2 M53 R44x,TX715.2 M53 R44x,Item in place,Book,990014569890102756
"Book By Dubuque Packing Company. ([Dubuque, Iowa] : [Dubuque Packing Co.], [between 1960 and 1969?])","[Dubuque, Iowa] : [Dubuque Packing Co.], [between 1960 and 1969?])",Dubuque Packing Company.,Flavor magic in whiffs of smoke.,,PARKS Special Collections,TX840 B3 F53x 1960z,TX840 B3 F53x 1960z,Item in place,Book,990018909310102756
"Book By St. Thomas Aquinas Church (Ames, Iowa) Guild. (Ames, Iowa : The Guild, 1963.)","Ames, Iowa) Guild. (Ames, Iowa : The Guild, 1963.)",St. Thomas Aquinas Church,Favorite recipes,"compiled by St. Thomas Aquinas Guild, Ames Iowa.",PARKS General Collection,TX715.2 M53 F3825x 1963,1963,Item in place,Book,990011121260102756
